track_id,display_label,jersey_number,player_name,face_cluster,frames_tracked,max_speed_kmh,avg_speed_kmh
83,ID 83,,,,6,42.0,42.0
79,ID 79,,,,6,42.0,42.0
80,ID 80,,,,6,42.0,42.0
230,ID 230,,,,6,23.6,23.6
58,ID 58,,,,6,42.0,42.0
27,ID 27,,,,6,42.0,42.0
22,ID 22,,,,6,26.3,25.3
84,ID 84,,,,5,42.0,42.0
67,ID 67,,,,5,37.3,37.3
582,ID 582,,,,5,42.0,42.0
538,ID 538,,,,5,42.0,42.0
623,ID 623,,,,5,42.0,42.0
624,ID 624,,,,5,42.0,42.0
672,ID 672,,,,5,29.9,29.9
1098,ID 1098,,,,5,42.0,42.0
1092,ID 1092,,,,5,42.0,37.3
1059,ID 1059,,,,5,42.0,42.0
1058,ID 1058,,,,5,42.0,42.0
397,ID 397,,,,5,42.0,42.0
416,ID 416,,,,5,42.0,42.0
422,ID 422,,,,5,42.0,42.0
775,ID 775,,,,5,42.0,42.0
464,ID 464,,,,5,36.5,36.5
479,ID 479,,,,5,34.5,31.1
396,ID 396,,,,5,42.0,42.0
156,ID 156,,,,5,42.0,37.1
842,ID 842,,,,5,42.0,40.9
85,ID 85,,,,5,42.0,42.0
513,ID 513,,,,4,42.0,26.2
145,ID 145,,,,4,35.3,35.3
766,ID 766,,,,4,42.0,42.0
257,ID 257,,,,4,42.0,42.0
849,ID 849,,,,4,42.0,42.0
852,ID 852,,,,4,42.0,42.0
854,ID 854,,,,4,42.0,42.0
385,ID 385,,,,4,42.0,42.0
112,ID 112,,,,4,42.0,23.7
436,ID 436,,,,4,42.0,42.0
999,ID 999,,,,4,42.0,42.0
795,ID 795,,,,4,40.7,35.6
778,ID 778,,,,4,42.0,42.0
419,ID 419,,,,4,42.0,42.0
420,ID 420,,,,4,42.0,42.0
460,ID 460,,,,4,35.9,30.7
155,ID 155,,,,4,37.6,37.6
474,ID 474,,,,4,42.0,39.8
82,ID 82,,,,4,42.0,42.0
63,ID 63,,,,4,36.7,36.7
81,ID 81,,,,4,42.0,42.0
588,ID 588,,,,4,42.0,42.0
590,ID 590,,,,4,42.0,42.0
583,ID 583,,,,4,42.0,42.0
12,ID 12,,,,4,42.0,42.0
928,ID 928,,,,4,42.0,23.1
665,ID 665,,,,4,40.4,37.8
350,ID 350,,,,4,42.0,42.0
845,ID 845,,,,4,40.8,40.8
954,ID 954,,,,4,15.0,14.3
449,ID 449,,,,4,42.0,20.0
62,ID 62,,,,4,42.0,42.0
174,ID 174,,,,4,42.0,42.0
632,ID 632,,,,3,42.0,42.0
534,ID 534,,,,3,42.0,42.0
349,ID 349,,,,3,42.0,25.3
575,ID 575,,,,3,42.0,42.0
503,ID 503,,,,3,42.0,42.0
217,ID 217,,,,3,5.2,5.2
13,ID 13,,,,3,42.0,42.0
18,ID 18,,,,3,42.0,42.0
231,ID 231,,,,3,33.2,33.2
635,ID 635,,,,3,42.0,42.0
175,ID 175,,,,3,42.0,42.0
369,ID 369,,,,3,42.0,42.0
694,ID 694,,,,3,21.3,19.2
447,ID 447,,,,3,42.0,42.0
445,ID 445,,,,3,42.0,41.1
47,ID 47,,,,3,42.0,30.9
114,ID 114,,,,3,42.0,42.0
1065,ID 1065,,,,3,42.0,42.0
1064,ID 1064,,,,3,42.0,42.0
1073,ID 1073,,,,3,42.0,42.0
1063,ID 1063,,,,3,42.0,42.0
1057,ID 1057,,,,3,42.0,42.0
851,ID 851,,,,3,42.0,42.0
985,ID 985,,,,3,36.7,36.7
106,ID 106,,,,3,42.0,42.0
273,ID 273,,,,3,42.0,42.0
805,ID 805,,,,3,42.0,42.0
597,ID 597,,,,3,42.0,42.0
941,ID 941,,,,3,42.0,42.0
882,ID 882,,,,3,42.0,42.0
804,ID 804,,,,3,36.5,33.8
310,ID 310,,,,3,42.0,42.0
794,ID 794,,,,3,21.2,21.2
800,ID 800,,,,3,42.0,37.1
412,ID 412,,,,3,42.0,42.0
239,ID 239,,,,3,42.0,42.0
266,ID 266,,,,3,42.0,42.0
407,ID 407,,,,3,42.0,42.0
454,ID 454,,,,3,38.9,20.4
470,ID 470,,,,3,42.0,29.6
489,ID 489,,,,3,42.0,42.0
453,ID 453,,,,3,42.0,42.0
761,ID 761,,,,3,42.0,42.0
759,ID 759,,,,3,42.0,42.0
762,ID 762,,,,3,42.0,42.0
915,ID 915,,,,2,42.0,42.0
979,ID 979,,,,2,42.0,42.0
977,ID 977,,,,2,42.0,42.0
920,ID 920,,,,2,19.6,19.6
430,ID 430,,,,2,42.0,42.0
969,ID 969,,,,2,42.0,42.0
150,ID 150,,,,2,42.0,42.0
741,ID 741,,,,2,42.0,42.0
472,ID 472,,,,2,31.8,31.8
490,ID 490,,,,2,42.0,42.0
463,ID 463,,,,2,21.8,21.8
415,ID 415,,,,2,42.0,42.0
855,ID 855,,,,2,42.0,42.0
289,ID 289,,,,2,42.0,42.0
240,ID 240,,,,2,42.0,42.0
275,ID 275,,,,2,42.0,42.0
940,ID 940,,,,2,42.0,42.0
591,ID 591,,,,2,42.0,42.0
578,ID 578,,,,2,42.0,42.0
587,ID 587,,,,2,42.0,42.0
598,ID 598,,,,2,42.0,42.0
599,ID 599,,,,2,42.0,42.0
603,ID 603,,,,2,42.0,42.0
601,ID 601,,,,2,42.0,42.0
931,ID 931,,,,2,6.6,6.6
54,ID 54,,,,2,24.8,24.8
55,ID 55,,,,2,25.8,25.8
57,ID 57,,,,2,42.0,42.0
942,ID 942,,,,2,42.0,42.0
631,ID 631,,,,2,42.0,42.0
376,ID 376,,,,2,42.0,42.0
707,ID 707,,,,2,16.5,16.5
739,ID 739,,,,2,42.0,42.0
132,ID 132,,,,2,42.0,42.0
738,ID 738,,,,2,42.0,42.0
159,ID 159,,,,2,42.0,42.0
142,ID 142,,,,2,33.9,33.9
152,ID 152,,,,2,42.0,42.0
809,ID 809,,,,2,42.0,42.0
808,ID 808,,,,2,31.9,31.9
1018,ID 1018,,,,2,28.1,28.1
552,ID 552,,,,2,42.0,42.0
530,ID 530,,,,2,42.0,42.0
528,ID 528,,,,2,42.0,42.0
14,ID 14,,,,1,0.0,0.0
203,ID 203,,,,1,0.0,0.0
19,ID 19,,,,1,0.0,0.0
215,ID 215,,,,1,0.0,0.0
735,ID 735,,,,1,0.0,0.0
726,ID 726,,,,1,0.0,0.0
696,ID 696,,,,1,0.0,0.0
686,ID 686,,,,1,0.0,0.0
368,ID 368,,,,1,0.0,0.0
370,ID 370,,,,1,0.0,0.0
636,ID 636,,,,1,0.0,0.0
642,ID 642,,,,1,0.0,0.0
358,ID 358,,,,1,0.0,0.0
367,ID 367,,,,1,0.0,0.0
539,ID 539,,,,1,0.0,0.0
621,ID 621,,,,1,0.0,0.0
558,ID 558,,,,1,0.0,0.0
542,ID 542,,,,1,0.0,0.0
494,ID 494,,,,1,0.0,0.0
512,ID 512,,,,1,0.0,0.0
576,ID 576,,,,1,0.0,0.0
595,ID 595,,,,1,0.0,0.0
160,ID 160,,,,1,0.0,0.0
179,ID 179,,,,1,0.0,0.0
610,ID 610,,,,1,0.0,0.0
564,ID 564,,,,1,0.0,0.0
570,ID 570,,,,1,0.0,0.0
573,ID 573,,,,1,0.0,0.0
605,ID 605,,,,1,0.0,0.0
740,ID 740,,,,1,0.0,0.0
492,ID 492,,,,1,0.0,0.0
129,ID 129,,,,1,0.0,0.0
764,ID 764,,,,1,0.0,0.0
737,ID 737,,,,1,0.0,0.0
425,ID 425,,,,1,0.0,0.0
426,ID 426,,,,1,0.0,0.0
807,ID 807,,,,1,0.0,0.0
787,ID 787,,,,1,0.0,0.0
301,ID 301,,,,1,0.0,0.0
771,ID 771,,,,1,0.0,0.0
421,ID 421,,,,1,0.0,0.0
427,ID 427,,,,1,0.0,0.0
103,ID 103,,,,1,0.0,0.0
87,ID 87,,,,1,0.0,0.0
817,ID 817,,,,1,0.0,0.0
838,ID 838,,,,1,0.0,0.0
824,ID 824,,,,1,0.0,0.0
